Date,Verse,Devotional,Prayer
1월 1일,"마태복음 4:4
“사람이 떡으로만 살 것이 아니요 하나님의 입으로부터 나오는 모든 말씀으로 살 것 이라”","말씀과 기도로 시작하는 한 해

새해 첫 아침, 차가운 공기가 몸속 깊이 스며들면 우리는 본능적으로 허기를 느낍니다. 하루를 위해 음식을 준비하듯, 우리의 영혼도 새해를 살아내기 위해 반드시 채워야 할 양식이 있습니다. 세상은 눈에 보이고 손에 잡히는 것으로 삶을 정의하려 하지만, 아무리 많은 것을 소유해도 말씀 없이는 영혼의 목마름이 가시지 않습니다. 이는 우리가 창조주 하나님을 의존하며 살도록 지음받은 존재이기 때문입니다. 시편 기자가 “주의 말씀은 내 발에 등이요 내 길에 빛” (시 119:105)이라 고백했듯, 말씀은 단순한 지식이 아니라 하나님이 친히 우리에게 주시는 생명의 빛입니다. 메마른 땅에 스며드는 단비처럼 말씀은 굳은 마음을 부드럽게 하고, 지친 심령에 새 힘을 불어넣습니다. 말씀 한 구절을 천천히 되뇌는 순간, 은밀히 스며드는 성령의 위로 속에서 상처가 치유되고 영혼이 다시 일어섭니다. 여호수아가 “주야로 묵상하라” (수 1:8)라고 명령받은 것은 성공을 위한 조건이 아니라 하나님과 동행하는 삶을 위한 길이었습니다. 말씀은 우리의 길을 밝히고, 기도는 그 말씀 앞에서 숨을 고르는 영혼의 호흡입니다. 한 철학자의 말처럼 사람은 빵만이 아니라 ‘의미’를 먹고 삽니다. 그 의미는 우리 안에서 만들어지는 것이 아니라, 말씀 속에서 주어지고 기도 가운데 지켜 집니다. 그러므로 새해 첫날, 작은 결단 하나를 마음에 품으십시오. 말씀과 기도로 하루를 여는 습관. 그 작은 시작이 한 해를 지켜줄 은혜의 틀을 세웁니다. 결국, 말씀과 기도는 우리가 하나님을 붙드는 것이 아니라, 하나님께서 말씀과 기도로 우리를 붙드시는 은혜의 손길입니다.","주님, 새해의 첫날을 말씀 앞에 엽니다. 우리의 영혼이 하늘의 양식을 먹고 자라게 하시고, 말씀과 기도로 주님의 음성을 따르는 한 해가 되게 하소서. 아멘."
1월 2일,"마태복음 24:35
“천지는 없어지겠으나 내 말은 없어지지 아니하리라”","기록된 하나님의 말씀

성경은 지나간 시대의 기록이 아니라, 오늘도 우리를 부르시는 하 나님의 살아 있는 음성입니다. 창세기부터 요한계시록까지 서 로 다른 시대와 배경을 가진 저자들이 기록했지만, 그 모든 책은 한 분 하나님께서 성령으로 감동하셔서 이루신 하나의 이야기, 곧 구속의 드라마입니다. 율법서는 창조와 언약의 빛 아래 인간의 시작을 보여 주고, 역사서는 인간의 불순종 속에서도 결코 약속 을 포기하지 않으시는 하나님의 신실하심을 증언합니다. 시가서는 인간의 영혼 깊은 곳에서 길어 올린 고백과 찬양을 담아 우리 마음을 하나님께로 끌어올리고, 예언서는 심판의 어둠 속에서도 메시아의 약속과 새 창조의 소망을 선포합니다. 그래서 성경은 인간이 하나님을 찾아간 발자취가 아니라, 하나님이 죄인에게 먼저 다가오신 자비의 이야기입니다. 수많은 제국과 권세가 무너졌지만, 말씀은 한 번도 꺼지지 않았습니다. 종교개혁의 불길도 결국 “성경으로 돌아가라”는 외침에서 시작되었고, 영적 각성의 시 대마다 하나님은 다시 말씀을 통해 교회를 새롭게 하셨습니다. 오늘 우리의 시대가 혼 란해 보일지라도, 말씀은 여전히 길을 비추는 등불이며 (시 119:105), 인간의 근원적 질문에 대해 유일하게 흔들리지 않는 하나님의 대답입니다. 그러므로 우리가 성경을 펼칠 때, 단지 글자를 읽는 것이 아니라 살아 계신 하나님께서 지금, 나에게, 사랑으로 말씀하시 는 음성을 듣는 것입니다. 말씀은 읽는 자의 지혜를 열고, 무너진 영혼을 일으키며, 길 을 잃은 삶을 다시 하나님께로 돌려세우는 능력입니다. 오늘도 기록된 말씀은 변하지 않는 진리로 우리를 붙들고, 흔들리는 세상 속에서도 하나님 나라의 길을 걷게 합니다. 주님, 변하지 않는 말씀을 우리 손에 맡기신 은혜를 감사합니다.","이 말씀이 오늘 나를 향한 하나님의 음성으로 들리게 하시고, 그 말씀에 순종하며
흔들림 없는 믿음의 길을 걷게 하소서. 아멘."
1월 3일,"요한복음 1:1
“말씀이 곧 하나님이시라”","하나님의 사랑의 숨결

성경은 오래된 종교 문헌이 아니라, 시대와 언어를 넘어 보존된 하 나님의 살아 있는 계시입니다. 그러나 이 말씀이 오늘 우리의 손 에 자연스럽게 놓이기까지는 수많은 장애와 고난, 그리고 말씀을 지키려는 영혼들 의 헌신이 있었습니다. 틴데일이 원어에서 성경을 번역하며 “모든 사람이 성경을 읽게 하겠다”는 열망으로 목숨을 내놓았고, 커버데일은 그의 작업을 이어받아 성경을 보완 해 위대한 성경The Great Bible을 출판했습니다. 박해 속에서도 꺼지지 않았던 말씀의 불씨 는 마침내 제네바 성경을 거쳐 1611년 킹 제임스 성경KJV의 완성으로 이어졌습니다. 이 역사는 한 가지 사실을 증언합니다. 하나님의 말씀은 결코 묶일 수 없는 자유의 말 씀이라는 것입니다. 성경 번역은 단순한 언어의 변환이 아니라, 신학과 진리를 지켜내 는 깊은 영적 싸움이었습니다. 요한복음 1장 1절 ― “말씀이 곧 하나님이시라” ―이 한 문장이 흐려지면 그리스도의 신성과 복음의 중심이 흔들릴 수 있었기에, 단어 하나를 세우기까지도 기도가 필요했습니다. 그러므로 성경을 읽는다는 것은 과거의 글을 읽는 행위가 아니라, 세대를 넘어 울려 퍼진 하나님의 음성 앞에 서는 거룩한 순간입니다. 말 씀은 단순한 기록이 아니라, 영혼을 깨우는 하나님의 숨결입니다. “모든 성경은 하나님 의 감동으로 되었다”딤 (후 3:16)고 고백한 사도의 말처럼, 말씀은 영혼의 호흡이며 삶을 이 끄는 빛입니다. 이 말씀을 들을 때 우리의 마음은 흔들리던 자리에서 다시 세워지고, 어 둠 속에서도 길을 잃지 않게 됩니다. 말씀은 언제나 우리를 향한 하나님의 사랑의 숨결 이며, 우리 안에 생명을 불어넣는 은혜의 호흡입니다. 주님, 성경이 보존되고 번역되기까지 수많은 눈물과 희생이 있었음을 기억합니다.","이 거룩한 말씀을 가볍게 여기지 않게 하시고, 날마다 깊이 묵상하여 하나님의 뜻을
깨닫게 하소서. 말씀을 사랑하고 전하는 삶으로 우리를 이끄소서. 아멘."
1월 4일,"창세기 1:1
“태초에 하나님이 천지를 창조하시니라”","창세기 -창조주이신 하나님

성경의 첫 문장은 놀라울 만큼 단순하면서도, 우주의 모든 역사를 열어젖히는 거룩한 진리의 문입니다. 세상은 우연도, 필연도 아닌 하나님의 의지와 사랑 속에서 시작되었습니다. 혼돈과 공허와 흑암이 깊이 덮고 있던 세계 위에 “빛이 있으라” (창 1:3)라는 하나님의 말씀이 울릴 때, 빛은 어둠을 가르고 질서를 세우며 세상은 하나님을 향해 열렸습니다. 바다는 경계를 얻고, 땅은 생명을 품고 하늘은 새들로 가득 찼습니다. 시작은 단지 시간의 출발이 아니라, 모든 것이 하나님에게서 흘러 나온다는 고백입니다. 하나님은 흙으로 사람을 빚으시고, 거기에 자신의 생기를 불어넣으 셨습니다 (창 2:7). 우리는 단순한 생명체가 아니라, 하나님의 형상을 지닌 존재입니다 (창 1:27). 시편에 “사람이 무엇이기에 주께서 기억하시나이까” (시 8:4)라 고백한 것은, 인간 존재가 얼 마나 큰 은혜인지 깨달았기 때문입니다. 그러나 이 영광스러운 시작은 인간의 불순종으 로 금세 어두워졌습니다. 첫 인류의 타락, 가인의 살인, 홍수, 바벨탑…. 창세기의 서두는 인간의 실패로 얼룩진 기록처럼 보이지만 그 실패의 역사 속에서도 하나님은 한순간도 인간을 포기하지 않으셨습니다. 홍수 속 방주에서, 아브라함의 부르심에서, 야곱의 씨름 에서, 요셉의 용서까지 매 순간 하나님은 다시 시작하시는 은혜의 하나님이셨습니다. 인 간의 끝처럼 보이는 자리마다 하나님은 또 다른 문을 여셨습니다. 우리의 삶도 그와 같습 니다. 창조의 빛과 타락의 그림자가 공존하는 현실 속에서 때로 길을 잃습니다. 그러나 우 리의 혼돈 위에도 여전히 “빛이 있으라” 말씀하시는 하나님이 계십니다. “당신들은 나를 해하려 하였으나 하나님은 그것을 선으로 바꾸사” (창 50:20)라는 요셉의 고백은 오늘 우리에 게도 동일한 약속이 됩니다. 하나님은 상처와 실패까지도 새 창조의 재료로 삼으시는 분 입니다. 신앙이란 우연에 흔들리는 삶이 아니라, 하나님 섭리 속에 자신을 다시 맡기는 선 택입니다. 오늘의 삶을 다시 하나님의 창조 이야기 속으로 들여놓는 순종입니다.","태초의 하나님, 제 혼돈 위에 빛을 창조하신 주님, 오늘도 제 삶의 어둠을 가르고
새 질서를 세우시는 은혜를 경험하게 하소서. 아멘."
1월 5일,"출애굽기 3:14
“하나님이 모세에게 이르시되 나는 스스로 있는 자이니라 또 이르시되 너는 이스라엘 자손에게 이같이 이르기를 스스로 있는 자가 나를 너희에게 보내셨다 하라”","스스로 계신 하나님

“나는 스스로 있는 자니라.” 떨기나무 불꽃 가운데 들려온 이 이 름은 억눌린 자들의 신음 속에 이미 일하던 하나님의 깊은 자 기 계시였습니다. 출애굽기는 이름 없는 고통을 ‘기억하신’하나님 (출 2:24)의 이야기로 시작합니다. 인간의 시선에서는 방치된 고난처럼 보였지만, 하나님의 시선에서는 언약 의 때를 준비하는 침묵이었습니다. 개혁신학이 말하듯, 하나님은 스스로 존재하시며 Self-Existence, 변화하지 않으시며Immutable, 언약을 신실히 이루시는 분이십니다. 모세 앞 에서 “스스로 있는 자”라 밝히신 분은 단순히 존재의 기원을 말한 것이 아니라 이름 없 는 백성을 스스로 책임지시는 하나님의 선언입니다. 그분이 보내셨기에 모세의 두려움 은 사명으로 바뀌고, 히브리 노예들의 신음은 구원의 역사로 재해석되었습니다. 홍해를 여시고, 만나와 물을 주시며, 시내산에서 율법을 주신 모든 사건은 자유가 목적지가 아 니라 하나님의 백성으로 빚어지는 거룩한 여정임을 드러냅니다. 금송아지 앞에 무너진 백성을 버리시지 않은 것도 스스로 계신 하나님의 신실하심 때문입니다. 성막을 세우 게 하신 하나님은 높고 먼 곳에 계신 분이 아니라, 죄 많은 백성 한가운데 거하시기를 기뻐하시는 임마누엘의 하나님이셨습니다. 오늘 우리의 광야도 다르지 않습니다. 이해 할 수 없는 침묵 속에서도, 예측할 수 없는 길 위에서도 하나님은 스스로 계시기에 결 코 우리를 의지의 대상으로 바꾸지 않으십니다. 그분은 변함없는 존재로, 신실한 언약 자로, 지금도 우리 삶의 불꽃 가운데서 부르시는 하나님이십니다. 그러므로 우리는 두 려움보다 은혜를, 상황보다 약속을 붙드는 사람으로 초대받았습니다. 주님, 스스로 계신 하나님. 제 인생의 고요한 광야에서도 변함없이 함께하시는","주님의 신실하심을 믿게 하시고, 두려움 대신 은혜를 붙드는 마음을 주소서.
제 걸음이 언제나 주님이 보내신 길 위에 서게 하소서."
1월 6일,"로마서 10:17
“믿음은 들음에서 나며 들음은 그리스도의 말씀으로 말미암았느니라”","성경, 영혼을 깨우는 말씀

베드로전 (서 2:2)“갓난아기들 같이 순전하고 신령한 젖을 사모하라 이는 이로 말미암아 너희로 구원에 이르도록 자라게 하려 함이라” 세상에는 무수한 책이 있지만, 그 어떤 책도 성경처럼 영혼을 깨우 는 생명의 숨결을 담고 있지 않습니다. 철학은 인간의 이성을 깊 게 하고, 문학은 감정을 흔들며, 역사는 시간을 깨닫게 하지만, 성경은 그 모든 차원을 넘어 하나님이 친히 자기 백성에게 말씀하시는 살아 있는 음성입니다. 성경은 사람이 만 든 사상의 기록이 아니라, “성령의 감동으로 된”딤 (후 3:16) 영원한 계시이며, 신자를 다시 태우 고 자라게 하는 창조의 능력입니다. 아이가 어머니의 젖으로 자라듯, 신자는 말씀을 통해 자랍니다. 말씀을 멀리하면 영혼은 서서히 힘을 잃지만, 말씀을 가까이하는 자는 성령의 역사 속에서 믿음이 자라납니다. 말씀은 단지 영적 정보가 아니라 믿음을 일으키시는 하 나님의 손길이며, 우리 안에서 그리스도의 형상을 빚어 가는 은혜의 도구입니다. 역사를 돌아보면 많은 시대가 성경을 금지하고 불태웠습니다. 그러나 말씀은 억압 속에서 더욱 강렬한 빛으로 타올라 수많은 영혼을 자유로 이끌었습니다. 이는 성경이 인간의 권력에 묶일 수 없는, 하나님의 주권적 능력임을 증언합니다. 어떤 이는 “칼은 몸을 벨 뿐이지만 말씀은 영혼을 깨운다”고 말했습니다. 성경은 단순한 문서가 아니라, 하나님의 숨결을 담 은 생명의 강물입니다. 서로 다른 저자와 시대 속에서 기록되었으나, 한 분 하나님이 주시 는 일관된 진리가 흐르며, 성령께서 오늘도 그 말씀을 통해 우리를 깨우십니다. 그러므로 성경은 읽고 지나가는 책이 아니라 묵상할 때 빛을 비추고, 기도와 함께할 때 삶을 변화시 키는 은혜의 통로입니다. 오늘도 말씀을 가까이하십시오. 조용한 한 음절의 말씀이라도 성령께서 당신의 마음 깊은 곳을 두드리며 영혼을 새롭게 하실 것입니다.","주님, 당신의 말씀이 저희 삶의 유일한 권위가 되게 하시고, 성경 안에서 참된 진리를
깨닫게 하소서. 그 말씀을 더하거나 빼지 않고, 온전히 받아들이며 살아가게 하소서."
1월 7일,"레위기 19:2
“너희는 거룩하라 이는 나 여호와 너희 하나님이 거룩함이니라”","거룩하신 하나님

레위기의 이 한 문장은 광야의 고요한 공기를 가르는 명령이자, 백 성의 심장 가까이 들려오는 사랑의 부르심이었습니다. 거룩은 차 가운 규범의 무게가 아니라, 우리와 함께 살기 원하시는 하나님이 친히 품으시는 관 계의 언어입니다. 그래서 레위기의 제사 제도와 정결 규례들은 단지 형식적 예식이 아 니라, 죄를 미워하시되 죄인을 포기하지 않으시는 하나님의 성품을 드러냅니다. 번제단 의 연기와 속죄제의 피 냄새 속에는 “피 흘림이 없은즉 사함이 없느니라” (히 9:22)는 공의 의 진리가 자리하고, 동시에 죄인의 죄를 덮어 새롭게 하시는 은혜의 향기가 묻어 있습 니다. 개혁주의 신학이 말하듯, 거룩은 하나님이 구별하신 은혜의 선물이며, 성령께서 우리 안에서 이루어 가시는 변화의 열매입니다. 정결법과 절기의 규례가 먹고, 쉬고, 관 계하고, 일하는 일상 전체를 하나님 앞에 두게 하셨듯, 거룩은 특정한 장소에서만 입는 옷이 아니라 삶 전체에 스며드는 향기입니다. 아우구스티누스의 말처럼 “사랑하라, 그 리고 네가 원하는 것을 행하라”는 선언은 사랑이 곧 거룩의 본질임을 비춰 줍니다. 사 랑하지 않는 거룩은 형식이고, 사랑으로 불타지 않는 규범은 생명을 낳지 못합니다. 어 느 신학자의 말처럼, 거룩은 “하나님의 성품에 동화되는 인간의 응답”입니다. 억지로 자신을 꾸미는 도덕적 완벽이 아니라, 은혜가 우리를 감싸 안아 새롭게 하시는 하나님 의 손길에 기꺼이 자신을 내어 맡기는 순종의 열림입니다.오늘 우리의 눈길과 말, 손과 발이 하나님의 거룩하신 숨결에 물들어, 우리가 걷는 자리마다 그분의 향기가 머물기 를 소망합니다. 세상이 우리를 통해 하나님을 느끼고, 우리의 일상이 하나님과의 동행 의 공간이 되기를 바랍니다. ","거룩하신 하나님, 제 일상의 모든 숨결이 주님의 거룩하신 임재로 물들게 하시고, 사랑의 거룩으로 제 존재를 새롭게 빚어 주소서."
1월 8일,"민수기 6:24–26
“여호와는 네게 복을 주시고 너를 지키시기를 원하며, 여호와는 그의 얼굴을 네게 비 추사 은혜 베푸시기를 원하며, 여호와는 그 얼굴을 네게로 향하여 드사 평강 주시기를 원하노라”","복과 은혜와 평강을 주시는 하나님

광야는 끝이 보이지 않는 길이었습니다. 낮에는 타는 듯한 열기, 밤에는 사막의 냉기가 밀려오고, 하루의 이동조차 예측할 수 없 는 불확실함이 그들을 감쌌습니다. 그러나 그 여정의 중심에는 언제나 하나님이 계 셨습니다. 구름기둥과 불기둥은 단지 길잡이가 아니라, “여호와께서 너희 가운데 거하 신다”는 은혜의 표지였습니다. 민수기 6장의 제사장 축도는 그 광야의 한가운데에서 울려 퍼진 하나님의 마음입니다. “여호와는 네게 복을 주시고 너를 지키시기를 원하 며.” 개혁주의 신학이 말하듯, 복은 인간의 성취가 아니라 언약을 주도하시는 하나님의 주권적 은혜에서 흐릅니다. 은혜도, 지키심도, 평강도 하나님께서 “원하신다”라고 하실 때 비로소 부어집니다. 이는 하나님이 우리를 향해 단지 명령하시는 분이 아니라, 지키 고 싶어 하시는 분이라는 깊은 위로입니다. “그의 얼굴을 비추사 은혜 베푸시기를 원하 며.” 하나님이 얼굴을 비추신다는 것은 그분의 호의와 기쁨이 우리에게 향하고 있다는 뜻입니다. 히브리의 축복 언어에서 하나님의 얼굴은 사랑과 보호의 상징이며, 우리 존 재를 밝히는 생명의 빛입니다. 광야의 현실은 언제나 메말랐지만, 그 얼굴빛의 은혜는 백성을 거룩한 여정으로 이끌었습니다. “그 얼굴을 네게로 향하여 드사 평강 주시기를 원하노라.” 평강은 상황의 안정이 아니라, 하나님이 나를 바라보고 계신다는 확신에서 자라는 신앙의 열매입니다. 한 수도자가 “광야에서 하나님을 잃지 않은 자만이 도성에 서도 하나님을 본다”고 고백했듯, 황량한 날이야말로 하나님의 얼굴빛을 더 또렷이 경 험하는 자리입니다. 우리의 광야는 결핍의 공간이 아니라 은혜를 배우는 학교입니다. 그분의 얼굴은 오늘도 우리를 향해 있으며, 그 시선 속에서 평강이 시작됩니다.","주님, 제 광야 같은 하루에도 주님의 얼굴빛이 머물게 하시고,
그 빛에서 흘러오는 은혜와 평강을 누리게 하소서."
1월 9일,"신명기 6:5
“너는 마음을 다하고 뜻을 다하고 힘을 다하여 네 하나님 여호와를 사랑하라”","하나님을 사랑하라

신명기는 광야의 끝자락, 약속의 땅을 향한 문턱에서 모세가 남긴 유언과 같은 설교입니다. 사십 년 동안 백성은 만나와 물, 구름기 둥과 불기둥, 용서와 인도하심이라는 하나님의 은혜를 수없이 경험했습니다. 그러 나 인간의 마음은 연약하여 받은 은혜를 잊고 원망으로 돌아서는 일이 반복되었습니 다. 그래서 모세는 떠나기 전, 모든 말씀의 핵심이자 삶의 뿌리를 이루는 단 하나의 명 령을 새겨 줍니다. “마음을 다하고 뜻을 다하고 힘을 다해 하나님을 사랑하라.” 이 명령 은 단순한 감정의 호소가 아니라 언약 백성의 존재 전체를 요구하는 하나님의 부르심 입니다. 마음을 다한다는 것은 내면 깊은 곳에서 하나님을 기억하고 그분을 가장 소중 한 분으로 여기는 신앙의 중심을 말합니다. 뜻을 다한다는 것은 삶의 방향과 결단이 모 두 하나님의 말씀 아래 놓이는 영적 질서를 뜻합니다. 힘을 다한다는 것은 일상의 모든 행위―일하는 손, 걷는 발, 말하는 혀―가 하나님을 영화롭게 하는 삶으로 흘러가는 것 을 의미합니다. 개혁주의 신학이 말하듯, 사랑은 율법의 요약이자 (롬 13:10), 하나님을 아는 자에게서 흘러나오는 성령의 열매입니다. “사랑은 기억이다”라고 어느 철학자가 말했 습니다. 이처럼 참된 사랑은 과거의 은혜를 잊지 않는 데서 시작됩니다. 신명기는 법조 문이 아니라 사랑의 언약문이며, 그 사랑을 마음에 새겨 가정과 길에서, 앉고 일어서며, 자녀 세대 속에 전하라고 가르칩니다. 예수님께서 “네 보물이 있는 그곳에 네 마음도 있다” (마 6:21)라고 하신 말씀처럼, 우리의 인생은 우리가 무엇을 사랑하는지에 따라 결정 됩니다. 그래서 교부들은 “하나님을 사랑하는 자는 결코 길을 잃지 않는다”라고 고백했 습니다. 광야이든 번영의 땅이든, ‘마음을 다해, 뜻을 다해, 힘을 다해 주님을 사랑하라’ 라는 명령은 오늘도 변함없이 우리를 부릅니다. 그 사랑이 우리의 길을 밝히고, 삶을 지 탱하며, 존재를 새롭게 할 것입니다.","주님, 제 전 존재로 주님을 사랑하게 하시고, 그 사랑의 언약 안에 머물며 흔들림 없는
길을 걷게 하소서."
1월 10일,"요한복음 5:39
“너희가 성경에서 영생을 얻는 줄 생각하고 성경을 연구하거니와 이 성경이 곧 내게 대하여 증언하는 것이니라”","진리를 증언하는 성경

시간은 흐르고 사상은 끊임없이 변합니다. 그러나 변하는 모든 것 위에서 흔들리지 않는 진리가 있습니다. 바로 하나님의 말씀, 성 경입니다. 세상은 늘 새로운 사조와 해석을 갈망하지만, 성경은 이미 충만한 빛과 영원한 진리를 담고 있습니다. 메이플라워호를 타고 신대륙으로 떠났던 순례자들의 목 자 존 로빈슨이 말한 “말씀 안에는 우리가 아직 다 발견하지 못한 더 많은 진리와 빛이 있다”는 고백은 성경 밖의 새로운 계시를 찾으라는 말이 아니라, 성령의 인도하심 속에 서 성경의 깊은 층을 더 깊이 탐구하라는 초대입니다. 말씀은 마치 깊이를 알 수 없는 바다와 같습니다. 겉으로 익숙해 보여도 그 속에는 여전히 감추인 빛과 생명이 살아 흐 릅니다. 성령께서는 이 진리를 한 겹씩 열어 우리의 영혼을 밝히시고, 예수 그리스도를 더 깊이 알게 하십니다. 그러나 성경 밖에서 새로운 계시를 더하려는 순간 진리는 흐려 지고 왜곡됩니다. 예수님이 “성경은 폐하지 못하나니” (요 10:35)라고 선언하신 이유는 성 경이 오류 없는 하나님의 완전한 계시이기 때문입니다. 역사 역시 이 진실을 증언해 왔 습니다. 기원전 701년 산헤립의 아시리아 점토 프리즘은 히스기야 시대의 사건을 정확 히 기록하며, 성경이 신화가 아니라 역사의 중심에서 호흡한 진리의 기록임을 보여줍 니다. 성경은 오래된 글이 아니라 오늘도 살아 역사하는 하나님의 음성입니다. 그 말씀 은 영혼을 깨우고, 생명을 불어넣고, 어둠 속에서 길을 밝혀 주는 빛입니다. 한 격언은 말합니다. “성경을 떠난 지혜는 그림자일 뿐이다.” 말씀 안에 머무를 때 우리의 삶은 빛 가운데 세워지고, 변하는 세상 속에서도 흔들리지 않는 진리 위에 굳건히 서게 됩니다. 오늘 말씀을 펼치는 순간, 그 말씀을 통해 살아 계신 주님이 조용히 우리 영혼에 말씀 하십니다.","주님, 당신의 말씀을 사랑하게 하시고 그 빛을 따라 걷게 하소서.
성령의 인도하심 속에서 영원한 진리 위에 굳게 서게 하옵소서. 아멘."
